"Site","Zone","N","logGR","sd","se","ci"
"LH","1",17,1.99270987117046,0.667006598437495,0.161772862255396,0.342943147965404
"LH","2",22,1.89127367449462,0.483440621090937,0.103069886731989,0.214345563422358
"MNS","1",9,2.14526704628765,0.293097633755982,0.0976992112519941,0.225294785153284
"MNS","2",13,0.848311871515852,0.665037701933802,0.184448271879928,0.401878261181936
"Site","Zone","N","sqrtDDFLWF","sd","se","ci"
"LH","1",18,6.37788472193942,1.82799402312272,0.430862323239518,0.909040041472188
"LH","2",22,5.64023507658664,2.37176307917526,0.505661587505954,1.05158083812436
"MNS","1",9,4.03330267571191,1.54483922039061,0.514946406796871,1.18746854348211
"MNS","2",13,4.65145705003894,1.47849346327489,0.41006030709815,0.893444658042734
"Site","Zone","N","Height","sd","se","ci"
"AR","1",25,29.52,10.1862652625975,2.0372530525195,4.20468364476729
"AR","2",18,23,7.77628370336976,1.83288764636107,3.86705490871082
"BH","1",25,22.44,7.2403959376082,1.44807918752164,2.98868855224939
"BH","2",25,9.44,5.97968784023603,1.19593756804721,2.46829382648955
"DB","1",18,7.5,2.25571170456635,0.531676347566912,1.12173904046219
"DB","2",33,9.18181818181818,3.55716306779842,0.619222608694529,1.26131517867423
"KB","1",45,26.8222222222222,11.3263347374982,1.68843029393088,3.40280766609685
"KB","2",25,15.96,4.93693562175296,0.987387124350593,2.03786686571722
"LH","1",19,17.3157894736842,6.85608109295802,1.57289287541705,3.30452530890177
"LH","2",30,16.0333333333333,6.63576169955894,1.21151878969242,2.47783414067967
"MNS","1",10,15.9,3.8715486421959,1.22429117814713,2.76953905799618
"MNS","2",20,11.9,4.10263073495147,0.91737612099314,1.92009028817843
"TH","1",45,29.6888888888889,8.32526882509514,1.2410578015915,2.50118765133798
"TH","2",45,25.9555555555556,10.9377485541744,1.63050328586226,3.28606345235081
"Site","Zone","N","logSIZE","sd","se","ci"
"AR","1",25,4.65900502948928,0.578445588429242,0.115689117685848,0.238770603587838
"AR","2",18,4.1046532056712,0.576121469168788,0.135793132545469,0.286498466407214
"BH","1",25,4.42912047235347,0.847727318538508,0.169545463707702,0.349924638676882
"BH","2",25,2.51679099375146,0.837250399710884,0.167450079942177,0.345599979137157
"DB","1",18,2.16779976163462,0.631221852725524,0.148780417498451,0.313899242514777
"DB","2",33,1.8214225666298,0.713214881308904,0.124154774730975,0.252895000399301
"KB","1",45,4.85381807814883,0.612095870565646,0.0912458650221132,0.183893957667639
"KB","2",25,3.82008382452381,0.490230591763194,0.0980461183526388,0.202357242641222
"LH","1",19,4.09645721939142,0.760505055524708,0.174471825425473,0.366551703437463
"LH","2",30,3.82536406945576,0.559180400563627,0.102091906367824,0.208801393125311
"MNS","1",10,4.01331443753834,0.287773189028264,0.0910018726859492,0.20586053812457
"MNS","2",20,2.61989056769296,0.624192748055373,0.139573741571421,0.292131198472754
"TH","1",45,5.11809741349413,0.501627133748467,0.0747781580279967,0.150705474966256
"TH","2",45,4.23808063597341,1.05655331831941,0.157501669441012,0.317423757512175
"Site","Zone","N","sqrtBranches","sd","se","ci"
"AR","1",25,3.16609165390911,0.495672563971432,0.0991345127942865,0.204603578363823
"AR","2",18,2.58000670602492,0.432786942800507,0.102008860687744,0.215219883356032
"BH","1",25,2.85118686157668,0.468523256685007,0.0937046513370015,0.193396895112293
"BH","2",25,1.77725594462784,0.521777118849796,0.104355423769959,0.215379009016902
"DB","1",18,1.67709974097454,0.445372036076161,0.104975195620104,0.221478303005396
"DB","2",33,1.47365951099878,0.427010403350066,0.0743329700838765,0.15141130528227
"KB","1",45,2.62070519497721,0.93463279913796,0.139326831524892,0.280794778505257
"KB","2",25,2.60137095408934,0.372028727637871,0.0744057455275741,0.153565911171221
"LH","1",19,2.87775632806139,0.480269126506141,0.11018129411278,0.231482309223819
"LH","2",30,2.43930230018097,0.473218206209434,0.0863974287210127,0.176702582224263
"MNS","1",10,2.73046643094253,0.222493619124458,0.0703586601287285,0.159162346975088
"MNS","2",20,1.55198527743798,0.553782874624267,0.12382961524351,0.259178363352793
"TH","1",45,3.42044854714654,0.522753377767002,0.0779274725436429,0.157052501322815
"TH","2",45,2.8619104733566,0.767612590381424,0.114428928831838,0.230616352746019
"Site","Zone","N","logFR.ALL","sd","se","ci"
"AR","1",25,2.26405935036975,0.858147324814672,0.171629464962934,0.354225805869988
"AR","2",18,1.94698920797731,0.406318623281316,0.0957702179482002,0.202057497719605
"BH","1",25,2.32542652062931,0.713528037894044,0.142705607578809,0.294529898218157
"BH","2",25,1.07850648230208,0.43568916391165,0.08713783278233,0.179843647742834
"DB","1",18,1.08995295523579,0.449377524530961,0.105919298302889,0.223470185552609
"DB","2",33,0.542500043922188,0.392324817857232,0.068294984665833,0.139112331456932
"KB","1",45,2.15190025139985,1.15718429123705,0.172502849180064,0.347656648736664
"KB","2",25,2.04330516829901,0.467157777284925,0.093431555456985,0.192833252918341
"LH","1",19,2.34252935810783,0.619508765645119,0.142125058109721,0.298593667053251
"LH","2",30,1.89053147523709,0.515072835948055,0.0940390036689692,0.192331357820402
"MNS","1",10,2.23454394858184,0.178728323824715,0.0565188585670237,0.127854540740571
"MNS","2",20,1.08357226752907,0.392712444906829,0.087813172242181,0.183795081796785
"TH","1",45,2.93302047961584,0.434136704835756,0.0647172789027008,0.130429105406737
"TH","2",45,2.21543410863985,0.765811571759561,0.114160448827356,0.230075266850599
"Site","Zone","N","logD2N","sd","se","ci"
"AR","1",25,2.08250450703835,0.206020575540914,0.0412041151081828,0.0850411139049341
"AR","2",18,1.06269196458814,0.359739189238419,0.0847913400563456,0.17889409011624
"BH","1",25,1.95762716150377,0.390502273771364,0.0781004547542728,0.161191416229838
"BH","2",25,1.07682845444334,0.38111774842934,0.0762235496858681,0.157317674558845
"DB","1",18,0.921623407551069,0.373278089798115,0.0879824895215361,0.185626826969093
"DB","2",33,0.973002575202345,0.174379504971265,0.0303555754721127,0.061832283839066
"KB","1",25,1.87916953252087,0.337668830702518,0.0675337661405036,0.139382842798709
"KB","2",25,1.4455171845249,0.197743508266739,0.0395487016533478,0.0816245084566005
"LH","1",19,1.63136146676032,0.518323139952514,0.1189114835343,0.24982375659497
"LH","2",30,1.07899709637425,0.219225008759338,0.0400248274889191,0.0818599636015852
"MNS","1",10,1.74787380559553,0.330817461814716,0.104613666909028,0.236652555924844
"MNS","2",20,1.00023317429454,0.184688109884102,0.0412975168336803,0.0864366961202249
"TH","1",25,2.08675428381261,0.221694852997584,0.0443389705995168,0.09151113764441
"TH","2",25,1.09638529413212,0.23781133239035,0.04756226647807,0.0981636933718575
"Site","Zone","N","rankPrpnPD","sd","se","ci"
"AR","1",20,90.825,30.360238453401,6.78875569949077,14.2090289785357
"AR","2",15,77.1333333333333,34.7965857657383,8.9844398117055,19.2697069065447
"KB","1",20,107.625,15.5697708126322,3.48150659311378,7.28687704496827
"KB","2",20,107.075,19.5450054193419,4.37039607382503,9.14734410980743
"LH","1",18,101.222222222222,51.5778173426335,12.1570081339258,25.6490451408029
"LH","2",22,57.7045454545455,49.3760253880047,10.5270039835154,21.8921032276221
"TH","1",20,30.075,18.5793284961653,4.15446414937246,8.69539339781352
"TH","2",18,45.5833333333333,24.1948280812729,5.70277566863693,12.031804942579
